Кабель,Проводник,Проектная позиция Откуда,Клеммный ряд Откуда,Клемма Откуда,Подключено,Проверено,Проектная позиция Куда,Клеммный ряд Куда,Клемма Куда,Подключено,Проверено,Комментарий
,HSO3kshe2/3 (L),3JB007,XT1,6,Да,Да,7-ШС3.1,XT1,113,Да,Да,
,3kshe2/3-PE,3JB007,XT1,PE,Да,Да,7-ШС3.1,XT1,116,Да,Да,
C-3JB007-3,HS3zpe3/3 (N),3JB007,XT1,7,Да,Да,7-ШС3.1,XT1,123,Да,Да,
,HSC3zpe3/3 (L),3JB007,XT1,8,Да,Да,7-ШС3.1,XT1,122,Да,Да,
,HSO3zpe3/3 (L),3JB007,XT1,9,Да,Да,7-ШС3.1,XT1,121,Да,Да,
,3zpe3/3-PE,3JB007,XT1,PE,Да,Да,7-ШС3.1,XT1,124,Да,Да,
C-3JB007-4,HS3zpe4/3 (N),3JB007,XT1,10,Да,Да,7-ШС3.1,XT1,131,Да,Да,
,HSC3zpe4/3 (L),3JB007,XT1,11,Да,Да,7-ШС3.1,XT1,130,Да,Да,
,HSO3zpe4/3 (L),3JB007,XT1,12,Да,Да,7-ШС3.1,XT1,129,Да,Да,
,3zpe4/3-PE,3JB007,XT1,PE,Да,Да,7-ШС3.1,XT1,132,Да,Да,
C-3JB007-5,HS3kshe5/3 (N),3JB007,XT1,13,Да,Да,7-ШС3.1,XT1,139,Да,Да,
,HSC3kshe5/3 (L),3JB007,XT1,14,Да,Да,7-ШС3.1,XT1,138,Да,Да,
,HSO3kshe5/3 (L),3JB007,XT1,15,Да,Да,7-ШС3.1,XT1,137,Да,Да,
,3kshe5/3-PE,3JB007,XT1,PE,Да,Да,7-ШС3.1,XT1,140,Да,Да,
C-3JB007-6,ZS3kshe1/3-1,3JB007,XT2,1,Да,Да,7-ШС3.1,XT1,109,Да,Да,
,ZSO3kshe1/3,3JB007,XT2,2,Да,Да,7-ШС3.1,XT1,110,Да,Да,
,ZS3kshe1/3-2,3JB007,XT2,3,Да,Да,7-ШС3.1,XT1,112,Да,Да,
