,,,,,
,,,,,
2: Category 2,PZT_5P14_2_QUALITY,3x-94,3,КАНАЛ PZT_5P14_2 - Перегрузка,255:0:0
1: Category 1,PZT_5P14_2_QUALITY,3x-94,7,КАНАЛ PZT_5P14_2 - Подмена,255:215:0
0: Category 0,PZT_5P14_2_QUALITY,3x-94,9,КАНАЛ PZT_5P14_2 - ОК,
0: Category 0,LZT_5L13_1_SIGN,3x-100,0,LZT_5L13_1 Неопределено,
2: Category 2,LZT_5L13_1_SIGN,3x-100,1,LZT_5L13_1 Верхн. авар. порог,255:0:0
2: Category 2,LZT_5L13_1_SIGN,3x-100,2,LZT_5L13_1 Нижн. авар. порог,255:0:0
1: Category 1,LZT_5L13_1_SIGN,3x-100,3,LZT_5L13_1 Верхн. предупр. порог,255:215:0
1: Category 1,LZT_5L13_1_SIGN,3x-100,4,LZT_5L13_1 Нижн. предупр. порог,255:215:0
0: Category 0,LZT_5L13_1_SIGN,3x-100,5,LZT_5L13_1 В диапазоне уставок,
0: Category 0,LZT_5L13_1_QUALITY,3x-99,0,КАНАЛ LZT_5L13_1 - Неопред.,
2: Category 2,LZT_5L13_1_QUALITY,3x-99,1,КАНАЛ LZT_5L13_1 - Ошибка,255:0:0
2: Category 2,LZT_5L13_1_QUALITY,3x-99,2,КАНАЛ LZT_5L13_1 - Обрыв,255:0:0
2: Category 2,LZT_5L13_1_QUALITY,3x-99,3,КАНАЛ LZT_5L13_1 - Перегрузка,255:0:0
1: Category 1,LZT_5L13_1_QUALITY,3x-99,7,КАНАЛ LZT_5L13_1 - Подмена,255:215:0
0: Category 0,LZT_5L13_1_QUALITY,3x-99,9,КАНАЛ LZT_5L13_1 - ОК,
0: Category 0,LZT_5L13_2_SIGN,3x-105,0,LZT_5L13_2 Неопределено,
2: Category 2,LZT_5L13_2_SIGN,3x-105,1,LZT_5L13_2 Верхн. авар. порог,255:0:0
2: Category 2,LZT_5L13_2_SIGN,3x-105,2,LZT_5L13_2 Нижн. авар. порог,255:0:0
1: Category 1,LZT_5L13_2_SIGN,3x-105,3,LZT_5L13_2 Верхн. предупр. порог,255:215:0
1: Category 1,LZT_5L13_2_SIGN,3x-105,4,LZT_5L13_2 Нижн. предупр. порог,255:215:0
0: Category 0,LZT_5L13_2_SIGN,3x-105,5,LZT_5L13_2 В диапазоне уставок,
0: Category 0,LZT_5L13_2_QUALITY,3x-104,0,КАНАЛ LZT_5L13_2 - Неопред.,
2: Category 2,LZT_5L13_2_QUALITY,3x-104,1,КАНАЛ LZT_5L13_2 - Ошибка,255:0:0
2: Category 2,LZT_5L13_2_QUALITY,3x-104,2,КАНАЛ LZT_5L13_2 - Обрыв,255:0:0
2: Category 2,LZT_5L13_2_QUALITY,3x-104,3,КАНАЛ LZT_5L13_2 - Перегрузка,255:0:0
